figure_id,module,short_title,status,priority,canonical_path,main_message,recommended_use
T01,thermodynamics,OER staircase comparison,figure_ready,highest,02_DFT_CP2K/OER_free_energy/T01_combined_OER_staircase/publication_package,Three-site pathway comparison linking pristine Co32 Al-modified neighboring Co7 and Al47 control,main-text candidate
C01,cDFT,Charge redistribution,figure_ready_draft,highest,03_cDFT/OH_to_O_spin_response/publication_package,Al strongly suppresses the Co-centered total population response while substantial O-centered oxidation response remains,main-text candidate
C02,cDFT,Local-spin evolution,figure_ready_draft,highest,03_cDFT/OH_to_O_spin_response/publication_package,Pristine shows stronger Co-centered local-spin relaxation while Al substitution is accompanied by stronger O-centered spin reorganization,main-text candidate
C03,cDFT,Spin-change partition,figure_ready_draft,high,03_cDFT/OH_to_O_spin_response/publication_package,Hirshfeld alpha and beta population changes resolve how the Co and O local-spin responses are constructed,main-text or supporting
C04,cDFT,Constrained-state fingerprints for *O,figure_ready_draft,high,03_cDFT/OH_to_O_spin_response/publication_package,Co+adsorbate localization is favored over Co-only hole localization and Al raises the valid Co-only M+2 penalty at *O,main-text or supporting
V01,VASP,Validated Co-O COHP/ICOHP comparison,to_prepare,high,04_VASP_analysis,Validated bonding analysis supports the origin of altered Co-O response,main-text or supporting
V02,VASP,Reaction-induced density redistribution,to_prepare,high,04_VASP_analysis/charge_density_difference,Spatial density redistribution complements cDFT response,supporting or main-text
V03,VASP,Spin-density rendering,to_prepare,high,04_VASP_analysis,Spatial spin pattern supports the spin-reorganization interpretation,supporting or main-text
V04,VASP,PDOS/frontier-state fingerprint,candidate,medium,04_VASP_analysis,Frontier-state character supports the bonding mechanism without raw-band-index claims,supporting
V05,VASP,Bader charge comparison,candidate,low,04_VASP_analysis,Net charge partition is supporting context and does not define oxidation state,SI/supporting
